sequence,module,level,type,identifier,name,datatype,multiplicity,domain_name,definition,label_local,definition_local,element,id,semantic_path,associated_module,class_term
381,btx,4,A,,Document Location,String,0..1,,"Document location as URI, file name or other reference. Alternatively, text of document can be placed here.",元文書格納場所,文書の格納場所である、URI、ファイル名またはその他の参照情報。代わりに、文書のテキストも記述可能。,referencedDocumentLocation,BT10-07,$.Business Transactions.Transaction_ Header.Referenced Document.Document Location,btx,Referenced Document
382,btx,3,A,,Header Payment Method,String,0..1,,Method used or to be used to make the payment,支払方法,支払いのために使用された、または使用される方法。,headerPaymentMethod,BT11-17,$.Business Transactions.Transaction_ Header.Header Payment Method,btx,Transaction_ Header
383,btx,3,A,,Header Posting Status,Token,0..1,,"deferred: although entered, it cannot be posted until a later time\nposted: already posted\nproposed: a proposed item that must be approved\nsimulated: a simulated item, for what-if\ntax: a tax-specific entry\nunposted:entered but not yet posted or validated\ncancelled:entered and later cancelled\nother:other status - should be described in postingStatusDescription",転記状態,・据置：入力されたが、まだ転記できない。\n・転記済：転記済み。\n・提案済：検証が必要な項目。\n・シミュレーション：仮定のためにシミュレートされた項目。\n・税：税項目。\n・未転記：入力されたが、まだ検証も転記もされていない。\n・取消済：入力されたが、取り消された。\n・その他：その他の状態。postingStatusDescriptionで説明されるべき。\n[設定値のリスト]\n(deferred：据置)、(posted：転記済)、(proposed：提案済)、(simulated：シミュレーション)、(tax：税)、(unposted：未転記)、(cancelled：取消済)、(other：その他),headerPostingStatus,BT11-18,$.Business Transactions.Transaction_ Header.Header Posting Status,btx,Transaction_ Header
384,btx,3,A,,Header Posting Status Description,String,0..1,,Free format description of the posting status,転記状態説明,転記状態の説明。,headerPostingStatusDescription,BT11-19,$.Business Transactions.Transaction_ Header.Header Posting Status Description,btx,Transaction_ Header
385,btx,3,A,,Header Acknowledgement Date,Date Time,0..1,,Date of acknowledgement of goods/services shipped/received.,承認日付,出荷/受領済みの物品/サービスを承認した日付。,headerAcknowledgementDate,BT11-20,$.Business Transactions.Transaction_ Header.Header Acknowledgement Date,btx,Transaction_ Header
386,btx,3,A,,Header Confirmation Date,Date Time,0..1,,Date of confirmation of shipment/receipt.,確認日付,出荷/受領を確認した日付。,headerConfirmationDate,BT11-21,$.Business Transactions.Transaction_ Header.Header Confirmation Date,btx,Transaction_ Header
387,btx,3,A,,Header Ship From,String,0..1,,References Organization Address Location Identifier where used. Otherwise free form.,出荷元,使用されていれば住所識別子の参照情報。または自由記述。,headerShipFrom,BT11-22,$.Business Transactions.Transaction_ Header.Header Ship From,btx,Transaction_ Header
388,btx,3,A,,Header Date Shipped/Received,Date Time,0..1,,Date goods/services are shipped/received.,出荷/受領日付,物品/サービスを出荷/受領した日付。,headerDateShippedReceived,BT11-23,$.Business Transactions.Transaction_ Header.Header Date Shipped/Received,btx,Transaction_ Header
389,btx,3,A,,Header Maturity Date or Date Due,Date Time,0..1,,Due date or other maturity date.,支払期日,支払期日やその他の期日。,headerMaturityDateOrDateDue,BT11-24,$.Business Transactions.Transaction_ Header.Header Maturity Date or Date Due,btx,Transaction_ Header
390,btx,3,A,,Header Payment Terms,String,0..1,,Discount/payment terms.,支払条件,割引/支払い条件。,headerPaymentTerms,BT11-25,$.Business Transactions.Transaction_ Header.Header Payment Terms,btx,Transaction_ Header
391,btx,3,C,,Header_ Identifier Reference,,0..*,,"Identification for customer, vendor, or employee.",【文書CVE情報】,顧客、仕入先、従業員のための識別子。,headerIdentifierReference,BT11-26,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference,btx,Header_ Identifier Reference
392,btx,4,A,PK,Identifier Code,String,0..1,,Unique ID Number associated with identifierReference,CVE識別番号（内部）,identifierReferenceに関係付けられた、内部ID番号。,identifierCode,BT06-01,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier Code,btx,Header_ Identifier Reference
393,btx,4,A,,Identifier Purpose,String,0..1,,"Freeform for codes like purchasing, billing, manufacturing at identifier level.",CVE目的,購買、請求、製造などの、CVE識別子のレベルのコードの自由記述。,identifierPurpose,BT06-02,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier Purpose,btx,Header_ Identifier Reference
394,btx,4,A,,Identifier Active,Boolean,0..1,,"Boolean to indicate whether the identifier is active (=""true"") or inactive (=""false"")",CVE有効性,CVE識別子が有効か無効かを示すブール値。,identifierActive,BT06-03,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier Active,btx,Header_ Identifier Reference
395,btx,4,A,,Identifier Organization Type,Token,0..1,,"Identifier Organization Type. Enumerated as: individual, organization, other.",CVE組織種別,"CVE識別子の組織種別。_x000D_
[設定値のリスト]_x000D_
(individual：個人)、(organization：組織)、(other：その他)",identifierOrganizationType,BT06-04,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier Organization Type,btx,Header_ Identifier Reference
396,btx,4,A,,Identifier Organization Type Description,String,0..1,,Free format description of the identifier organization type,CVE組織種別説明,CVE識別子の組織種別の説明。,identifierOrganizationTypeDescription,BT06-05,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier Organization Type Description,btx,Header_ Identifier Reference
397,btx,4,A,,Identifier Description,String,0..1,,Textual description of identifierReference.,CVE説明,identifierReferenceの説明。,identifierDescription,BT06-06,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier Description,btx,Header_ Identifier Reference
398,btx,4,A,,Identifier Type,Token,0..1,,"Entity type (enumerated): C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",CVE種別,実体の種別。_x000D_ [設定値のリスト]_x000D_ (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者),identifierType,BT06-07,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier Type,btx,Header_ Identifier Reference
399,btx,4,A,,Identifier Category,String,0..1,,"For use as Customer, Vendor or Employee Class (such as Residential/Commercial/Institutional/Government or Retail/Wholesale or other classifications used by business).",CVEカテゴリ,顧客、仕入先、従業員の分類に使用する。　（住居/商業/機関/政府や、小売/卸や、ビジネスで使用されるその他の分類）。,identifierCategory,BT06-08,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier Category,btx,Header_ Identifier Reference
400,cor,4,C,,External Authority,,0..*,,Class containing references to an external authority associated with identifier,【外部機関】,識別子と関係付けられる外部機関への参照情報を含む構造体。,externalAuthority,BT06-09,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.External Authority,cor,External Authority
401,cor,5,A,PK,External Authority Code,String,0..1,,"External Authority (e,g, Tax Authority) ID Number associated with identifierReference",外部機関付与識別番号,identifierReferenceと関係付けられる、外部機関（たとえば、税務署）によるID番号。,externalAuthorityCode,CO12-01,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.External Authority.External Authority Code,cor,External Authority
402,cor,5,A,,External Authority Name,String,0..1,,Name of External Authority (e.g. Tax Authority),外部機関名,外部機関の名前（たとえば、税務署）,externalAuthorityName,CO12-02,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.External Authority.External Authority Name,cor,External Authority
403,cor,5,A,,External Authority Verification Date,Date Time,0..1,,Date on which the External Authority last performed a verification,外部機関認証日付,外部機関が最後に認証した日付。,externalAuthorityVerificationDate,CO12-03,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.External Authority.External Authority Verification Date,cor,External Authority
404,cor,4,C,,Identifier_ Phone,,0..*,,Phone number related to Identifier.,【電話番号】,CVE識別子の電話番号。,identifierPhone,BT06-10,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Phone,cor,Identifier_ Phone
405,cor,5,A,PK,Phone Number,String,0..1,,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,phoneNumber,CO01-01,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Phone.Phone Number,cor,Identifier_ Phone
406,cor,5,A,,Phone Number Description,String,0..1,,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",phoneNumberDescription,CO01-02,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Phone.Phone Number Description,cor,Identifier_ Phone
407,cor,4,C,,Identifier_ Fax,,0..*,,Fax number class related to identifier.,【FAX番号】,CVE識別子のFAX番号の構造体。,identifierFax,BT06-11,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Fax,cor,Identifier_ Fax
408,cor,5,A,PK,Fax Number,String,0..1,,Fax Number,FAX番号,FAX番号。,faxNumber,CO03-01,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Fax.Fax Number,cor,Identifier_ Fax
409,cor,5,A,,Fax Number Usage,String,0..1,,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),faxNumberUsage,CO03-02,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Fax.Fax Number Usage,cor,Identifier_ Fax
410,cor,4,C,,Identifier_ Email,,0..*,,Email address for Identifier.,【CVEEメールアドレス】,CVE識別子のEメールアドレス。,identifierEmail,BT06-12,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Email,cor,Identifier_ Email
411,cor,5,A,PK,Email Address,String,0..1,,Email Address,Eメールアドレス,Eメールアドレス。,emailAddress,CO05-01,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Email.Email Address,cor,Identifier_ Email
412,cor,5,A,,Email Address Usage,String,0..1,,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),emailAddressUsage,CO05-02,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Email.Email Address Usage,cor,Identifier_ Email
413,cor,4,C,,Identifier_ Address,,0..*,,"Address (block) of customer, vendor, employee for integration purposes, VAT.",【CVE住所】,統合目的やVATのための、顧客、仕入先、従業員の住所(ブロック)。,identifierAddress,BT06-13,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Address,cor,Identifier_ Address
414,cor,5,A,,Description,String,0..1,,Address Description,住所説明,住所の説明。,identifierAddressDescription,CO08-01,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Address.Description,cor,Identifier_ Address
415,cor,5,A,,Purpose,String,0..1,,Address Purpose,住所目的,住所の目的。,purpose,CO08-02,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Address.Purpose,cor,Identifier_ Address
416,cor,5,A,,Location ID,String,0..1,,A code used to identify the location and to associate it with contacts and transactions,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,locationId,CO08-03,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Address.Location ID,cor,Identifier_ Address
417,cor,5,A,,Building Number,String,0..1,,Building Number,住所建物番号,建物番号。,buildingNumber,CO08-04,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Address.Building Number,cor,Identifier_ Address
418,cor,5,A,,Street,String,0..1,,Street address,住所通り,住所の通り。,street,CO08-05,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Address.Street,cor,Identifier_ Address
419,cor,5,A,,Address Detail,String,0..1,,Address Detail,住所詳細,住所詳細。,addressDetail,CO08-06,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Address.Address Detail,cor,Identifier_ Address
420,cor,5,A,,City,String,0..1,,City,住所都市,住所の都市。,city,CO08-07,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Address.City,cor,Identifier_ Address
421,cor,5,A,,State or Province,String,0..1,,"State, province or region",住所州,住所の州や地方。,stateOrProvince,CO08-08,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Address.State or Province,cor,Identifier_ Address
422,cor,5,A,,Country,String,0..1,,Country,住所国,住所の国。,country,CO08-09,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Address.Country,cor,Identifier_ Address
423,cor,5,A,,Zip or Postal Code,String,0..1,,Zip or other postal code,住所郵便番号,住所の郵便番号。,zipOrPostalCode,CO08-10,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Address.Zip or Postal Code,cor,Identifier_ Address
424,cor,4,C,,Identifier_ Contact,,0..*,,Identifier Contact Information Class,【CVE担当者情報】,CVE識別子の担当者情報の構造体。,identifierContact,BT06-14,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Contact,cor,Identifier_ Contact
425,cor,5,A,,Contact Prefix,String,0..1,,"Prefix (e.g. Dr., Mr., Mrs.)",敬称,敬称(Dr.、Mr.、Mrs.など),contactPrefix,CO11-01,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Contact.Contact Prefix,cor,Identifier_ Contact
426,cor,5,A,,Contact Last Name,String,0..1,,Last or family name,姓,姓,contactLastName,CO11-02,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Contact.Contact Last Name,cor,Identifier_ Contact
427,cor,5,A,,Contact First Name,String,0..1,,First or given name,名,名、クリスチャンネーム,contactFirstName,CO11-03,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Contact.Contact First Name,cor,Identifier_ Contact
428,cor,5,A,,Contact Suffix,String,0..1,,"Suffix (e.g. MD, CPA, Jr.)",付加名称,付加名称(MD、CPA、Jr.など),contactSuffix,CO11-04,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Contact.Contact Suffix,cor,Identifier_ Contact
429,cor,5,A,,Contact Attention Line,String,0..1,,Attention Line,アテンションライン,アテンションライン,contactAttentionLine,CO11-05,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Contact.Contact Attention Line,cor,Identifier_ Contact
430,cor,5,A,,Contact Position Role,String,0..1,,Position or role,地位/役職,地位や役職。,contactPositionRole,CO11-06,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Contact.Contact Position Role,cor,Identifier_ Contact
431,cor,5,A,,Contact Contact Type,String,0..1,,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。,contactContactType,CO11-07,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Contact.Contact Contact Type,cor,Identifier_ Contact
432,cor,5,A,,Contact Location ID cross reference,String,0..1,,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,contactLocationIdCrossReference,CO11-08,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Contact.Contact Location ID cross reference,cor,Identifier_ Contact
433,cor,5,A,,Contact Active,Boolean,0..1,,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",担当者有効性,担当者が有効か無効かを示すブール値。,contactActive,CO11-09,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Contact.Contact Active,cor,Identifier_ Contact
434,bus,5,C,,Contact_ Phone,,0..*,,Contact Phone Number,【担当者電話番号】,担当者の電話番号。,identifierContactPhone,CO11-10,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Contact.Contact_ Phone,bus,Contact_ Phone
435,bus,6,A,PK,Phone Number,String,0..1,,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,identifierContactPhoneNumber,BU03-01,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Contact.Contact_ Phone.Phone Number,bus,Contact_ Phone
436,bus,6,A,,Phone Number Description,String,0..1,,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",identifierContactPhoneNumberDescription,BU03-02,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Contact.Contact_ Phone.Phone Number Description,bus,Contact_ Phone
437,bus,5,C,,Contact_ Fax,,0..*,,Contact Fax Number Class,【担当者FAX番号】,担当者のFAX番号の構造体。,identifierContactFax,CO11-11,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Contact.Contact_ Fax,bus,Contact_ Fax
438,bus,6,A,PK,Fax Number,String,0..1,,Fax Number,FAX番号,FAX番号。,identifierContactFaxNumber,BU08-01,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Contact.Contact_ Fax.Fax Number,bus,Contact_ Fax
439,bus,6,A,,Fax Number Usage,String,0..1,,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),identifierContactFaxNumberUsage,BU08-02,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Contact.Contact_ Fax.Fax Number Usage,bus,Contact_ Fax
440,bus,5,C,,Contact_ Email,,0..*,,Contact E-mail address class,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。,identifierContactEmail,CO11-12,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Contact.Contact_ Email,bus,Contact_ Email
441,bus,6,A,PK,Email Address,String,0..1,,Email Address,Eメールアドレス,Eメールアドレス。,identifierContactEmailAddress,BU13-01,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Contact.Contact_ Email.Email Address,bus,Contact_ Email
442,bus,6,A,,Email Address Usage,String,0..1,,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),identifierContactEmailAddressUsage,BU13-02,$.Business Transactions.Transaction_ Header.Header_ Identifier Reference.Identifier_ Contact.Contact_ Email.Email Address Usage,bus,Contact_ Email
443,btx,3,C,,Header_ Tax,,0..*,,Class for holding tax related information,【税情報】,税関連の情報のタプル。,headerTax,BT11-27,$.Business Transactions.Transaction_ Header.Header_ Tax,btx,Header_ Tax
444,btx,4,A,,Tax Authority,String,0..1,,Name of the relevant tax authority,課税庁,関係する課税庁の名前。,taxAuthority,BT08-01,$.Business Transactions.Transaction_ Header.Header_ Tax.Tax Authority,btx,Header_ Tax
445,btx,4,A,,Tax Table Code,String,0..1,,Tax table code used by the relevant tax authority,税率表コード,関係する課税庁で使用される税率表のコード。,taxTableCode,BT08-02,$.Business Transactions.Transaction_ Header.Header_ Tax.Tax Table Code,btx,Header_ Tax
446,btx,4,A,,Tax Description,String,0..1,,Description of tax authority,課税庁説明,課税庁の説明。,taxDescription,BT08-03,$.Business Transactions.Transaction_ Header.Header_ Tax.Tax Description,btx,Header_ Tax
447,btx,4,A,,Amount of Taxes,Monetary,0..1,,Amount of taxes,税額,税額。,amountOfTaxes,BT08-04,$.Business Transactions.Transaction_ Header.Header_ Tax.Amount of Taxes,btx,Header_ Tax
448,btx,4,A,,Basis for Taxation,Monetary,0..1,,Basis for taxation,課税基準,課税基準。,basisForTaxation,BT08-05,$.Business Transactions.Transaction_ Header.Header_ Tax.Basis for Taxation,btx,Header_ Tax
449,btx,4,A,,Tax Percentage Rate,Pure,0..1,,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,税率,"VAT(物品税)またはその他の税のパーセント比率。_x000D_
0から1.0の間の値。たとえば50%は0.5とあらわす。",taxPercentageRate,BT08-06,$.Business Transactions.Transaction_ Header.Header_ Tax.Tax Percentage Rate,btx,Header_ Tax
450,btx,4,A,,Tax Category,String,0..1,,A class or category of taxes,税区分,税のクラス又はカテゴリ。,taxCategory,BT08-07,$.Business Transactions.Transaction_ Header.Header_ Tax.Tax Category,btx,Header_ Tax
451,btx,4,A,,Tax Comment/Exemption Reason,String,0..1,,Additional text/code for exemption reasons or other comments.,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。,taxCommentExemptionReason,BT08-08,$.Business Transactions.Transaction_ Header.Header_ Tax.Tax Comment/Exemption Reason,btx,Header_ Tax
452,btx,4,A,,Tax Amount in Foreign Currency,Monetary,0..1,,"If the tax is in a foreign currency, the amount of tax in that currency",外貨建税額,税が外貨建ての場合の、税額。,taxAmountInForeignCurrency,BT08-09,$.Business Transactions.Transaction_ Header.Header_ Tax.Tax Amount in Foreign Currency,btx,Header_ Tax
453,btx,4,A,,Tax Foreign Currency,QName,0..1,,"If the tax is in a foreign currency, that currency",外貨建税額通貨,税が外貨建ての場合の、通貨。,taxForeignCurrency,BT08-10,$.Business Transactions.Transaction_ Header.Header_ Tax.Tax Foreign Currency,btx,Header_ Tax
454,btx,4,A,,Tax Exchange Rate Date,Date Time,0..1,,"If the tax is in a foreign currency, the date or date and time of the exchange rate used",税額換算レート日付,税が外貨建ての場合の、換算レートの日付または日付/時刻。,taxExchangeRateDate,BT08-11,$.Business Transactions.Transaction_ Header.Header_ Tax.Tax Exchange Rate Date,btx,Header_ Tax
455,btx,4,A,,Tax Exchange Rate,Pure,0..1,,"If the tax is in a foreign currency, the exchange rate used expressed as national currency divided by foreign currency",税額換算レート,税が外貨建ての場合の、換算レート。自国通貨を外貨で割った値。,taxExchangeRate,BT08-12,$.Business Transactions.Transaction_ Header.Header_ Tax.Tax Exchange Rate,btx,Header_ Tax
456,btx,4,A,,Tax Exchange Rate Source,String,0..1,,"If the tax is in a foreign currency, source of exchange rate - for example, Reuters, Bloomberg",税額換算レート情報源,"税が外貨建ての場合の、換算レートの情報源。たとえば、Reuters, Bloomberg",taxExchangeRateSource,BT08-13,$.Business Transactions.Transaction_ Header.Header_ Tax.Tax Exchange Rate Source,btx,Header_ Tax
457,btx,4,A,,Tax Exchange Rate Type,String,0..1,,"If the tax is in a foreign currency, type of exchange rate - for example, spot rate, forward contract etc.",税額換算レート種別,税が外貨建ての場合の、換算レートの種別。たとえば、スポット・レート、先物など。,taxExchangeRateType,BT08-14,$.Business Transactions.Transaction_ Header.Header_ Tax.Tax Exchange Rate Type,btx,Header_ Tax
458,btx,4,A,,Tax Exchange Rate Comment,String,0..1,,"If the tax is in a foreign currency, comment about exchange rate used",税額換算レートコメント,税が外貨建ての場合の、換算レートに関するコメント。,taxExchangeRateComment,BT08-15,$.Business Transactions.Transaction_ Header.Header_ Tax.Tax Exchange Rate Comment,btx,Header_ Tax
459,btx,3,C,,Header_ Amount Structure,,0..*,,"Structure representing monetary amounts and currency information applicable to the document as a whole, such as document-level totals or aggregated tax amounts.",【ヘッダー金額構造】,文書全体に適用される金額や通貨情報（文書レベルの合計額や集計された税額など）を表現する構造。,headerAmountStructure,BT11-28,$.Business Transactions.Transaction_ Header.Header_ Amount Structure,btx,Header_ Amount Structure
460,btx,4,A,,Amount,Monetary,1,,Numeric value of the monetary amount expressed in the specified currency.,金額,指定された通貨で表現された金額の数値。,headerAmountStructureAmount,BT01-01,$.Business Transactions.Transaction_ Header.Header_ Amount Structure.Amount,btx,Header_ Amount Structure
461,btx,4,A,,Amount Type,Token,0..1,,"Code or text specifying the type or role of the amount, such as tax amount, tax base amount, allowance amount, or charge amount.",金額種別,税額、課税標準額、値引金額、追加請求金額など、金額の種類または役割を指定するコードまたはテキスト。,headerAmountStructureAmountType,BT01-02,$.Business Transactions.Transaction_ Header.Header_ Amount Structure.Amount Type,btx,Header_ Amount Structure
462,btx,4,A,,Currency Code,Token,0..1,,"Code specifying the currency in which the amount is expressed, typically an ISO 4217 currency code.",通貨コード,金額が表現される通貨を指定するコード。通常は ISO 4217 通貨コードを用いる。,headerAmountStructureCurrencyCode,BT01-03,$.Business Transactions.Transaction_ Header.Header_ Amount Structure.Currency Code,btx,Header_ Amount Structure
463,btx,4,A,,Currency Code Type,Token,0..1,,"Code specifying the role of the currency used for the amount, such as functional currency, local currency, reporting currency, or transaction currency.",通貨コード種別,金額に対する通貨の役割（機能通貨、ローカル通貨、報告通貨、取引通貨など）を指定するコード。,headerAmountStructureCurrencyCodeType,BT01-04,$.Business Transactions.Transaction_ Header.Header_ Amount Structure.Currency Code Type,btx,Header_ Amount Structure
464,btx,4,A,,Header_ Amount Type,String,0..1,,"Code or text specifying the type or role of the amount, such as tax amount, tax base amount, allowance amount, or charge amount.",金額種別,税額、課税標準額、値引金額、追加請求金額など、金額の種類または役割を指定するコードまたはテキスト。,headerAmountType,BT01-05,$.Business Transactions.Transaction_ Header.Header_ Amount Structure.Header_ Amount Type,btx,Header_ Amount Structure
465,btx,3,C,,Transaction_ Detail,,0..*,,Parent for document line,【文書明細】,文書明細の親タグ。,transactionDetail,BT11-29,$.Business Transactions.Transaction_ Header.Transaction_ Detail,btx,Transaction_ Detail
466,btx,4,A,PK,Line Number,String,0..1,,Identifier for a particular entry detail,明細行番号,仕訳明細の識別子。,lineNumber,BT12-01,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Line Number,btx,Transaction_ Detail
467,btx,4,A,,Line Number Counter,Decimal,0..1,,Unique reference for the line - a numeric counter,明細行番号カウンタ,明細行の一意なリファレンス　　カウンタ,lineNumberCounter,BT12-02,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Line Number Counter,btx,Transaction_ Detail
468,btx,4,A,,Posting Date,Date Time,0..1,,"At the detail level, this represents the accounting significance date. No matter what date the document is received, entered, or posted, this signifies the accounting date of the entry. If you want to see the financial results for March 5, 2002 and this entry is given that date, the entry will be part of the results for March 5, 2002. This is different from the postedDate found at the entryHeader level. If you want the accounting significance to be a particular date, it goes here. A single entry could represent multiple dates, but would only be posted on one date.",転記日付,明細レベルで、会計上意義のある日付を示す。ドキュメントの受領、入力、転記の日付に関わらず、仕訳が会計処理された日付を示す。2002.03.05の財務結果を見たいときに、ここにその日付がある場合は、この明細は2002.03.05の結果の一部である。これは、entryHeaderにあるpostedDateとは異なる。特定の日付を会計上意義のある日付にしたいなら、ここに記述する。ひとつの仕訳が複数の日付をあらわせるが、ひとつの日でのみ転記される。,postingDate,BT12-03,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Posting Date,btx,Transaction_ Detail
469,btx,4,A,,Memo Line,Boolean,0..1,,A boolean like entry that indicates whether an entryDetail line has been provided solely to provide additional details and that tools should not consider the amount in postings.,メモ行フラグ,明細行が単に追加の詳細を与えるものであり、転記金額に含めるべきでないことを示すブール値。,memoLine,BT12-04,$.Business Transactions.Transaction_ Header.Transaction_ Detail.Memo Line,btx,Transaction_ Detail
