sequence,level,property_type,identifier,module,class_term,property_term,association_role,representation_term,associated_module,associated_class,multiplicity,definition,label_local,definition_local
365,2,Attribute,,cor,Detail,Document Type,,Token,,,0..1,"An enumerated field describing the original source document, with check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other.",元文書種別,小切手、借方メモ、貸方メモ、財務費用、顧客への請求書、顧客オーダー、仕入先オーダー、その他支払い、督促状、手形、ベンダからの請求書、出荷票、受領票、手修正、その他の列挙値による、元文書の説明。[設定値のリスト]_x000D_ (check：小切手)、(debit-memo：借方メモ)、(credit-memo：貸方メモ)、(finance-charge：財務費用)、(invoice：顧客への請求書)、(order-customer：顧客オーダ)、(order-vendor：仕入先オーダ)、(payment-other：その他支払い)、(reminder：督促状)、(tegata：手形)、(voucher：ベンダからの請求書)、(shipment：出荷票)、(receipt：受領票)、(manual-adjustment：手修正)、(other：その他)
366,2,Attribute,,cor,Detail,Document Type Description,,String,,,0..1,Free format description of the document type,元文書種別説明,元文書の種別の説明。
367,2,Reference Association,,cor,Detail,,Apply To,,cor,Detail,0..1,"Document number of primary invoice number, used to offset payments, debits and credits; for an invoice, usually the same as the documentNumber. When calculating open balance on an invoice, or open amount on payments in advance or not fully applied, this permits calculation of the open item.",適用先番号,"支払、借方、貸方の相殺に使用される、一次請求書の文書番号。請求書では通常documentNumberと等しい。_x000D_
未決済の請求書残高や、未決済の支払金額の計算時に、利用できる。"
368,2,Reference Association,,cor,Detail,,,,cor,Document,0..1,"Invoice, check, voucher, or other source document identifier",元文書番号,請求書、小切手、証憑、その他の元文書の識別子。
369,2,Attribute,,cor,Detail,Document Date,,Date Time,,,0..1,"Date (and less likely in the paper world but possible in the e-world, time) on actual document (invoice, voucher, check date). Other dates control posting information.",元文書日付,実際の文書（請求書、証憑、小切手）の日付（および、紙の世界ではありそうにないが、電子的には時刻）。 転記の情報は別の日付で管理する。
370,2,Attribute,,cor,Detail,Received Date,,Date Time,,,0..1,Date/time document was noted as received (if necessary). Represents actual date received. Posting dates are maintained separately.,元文書受領日付,（必要であれば）文書の受領が記録された日付/時刻。実際に受領された日付をあらわす。転記日付は別に管理される。
371,2,Attribute,,cor,Detail,Document Location,,String,,,0..1,"Document location as URI, file name or other reference. Alternatively, text of document can be placed here.",元文書格納場所,文書の格納場所である、URI、ファイル名またはその他の参照情報。代わりに、文書のテキストも記述可能。
372,2,Attribute,,cor,Detail,Posting Status,,Token,,,0..1,"deferred: although entered, it cannot be posted until a later time
posted: already posted
proposed: a proposed item that must be approved
simulated: a simulated item, for what-if
tax: a tax-specific entry
unposted:entered but not yet posted or validated
cancelled:entered and later cancelled
other:other status - should be described in postingStatusDescription",転記状態,"・据置：入力されたが、まだ転記できない。_x000D_
・転記済：転記済み。_x000D_
・提案済：検証が必要な項目。_x000D_
・シミュレーション：仮定のためにシミュレートされた項目。_x000D_
・税：税項目。_x000D_
・未転記：入力されたが、まだ検証も転記もされていない。_x000D_
・取消済：入力されたが、取り消された。_x000D_
・その他：その他の状態。postingStatusDescriptionで説明されるべき。_x000D_
[設定値のリスト]_x000D_
(deferred：据置)、(posted：転記済)、(proposed：提案済)、(simulated：シミュレーション)、(tax：税)、(unposted：未転記)、(cancelled：取消済)、(other：その他)"
373,2,Attribute,,cor,Detail,Posting Status Description,,String,,,0..1,Free format description of the posting status,転記状態説明,転記状態の説明。
374,2,Attribute,,cor,Detail,Description,,String,,,0..1,Description of this line of detail only,説明,この明細行のみに対する説明。
375,2,Attribute,,cor,Detail,Acknowledgement Date,,Date Time,,,0..1,Date of acknowledgement of goods/services shipped/received.,承認日付,出荷/受領済みの物品/サービスを承認した日付。
376,2,Attribute,,cor,Detail,Confirmation Date,,Date Time,,,0..1,Date of confirmation of shipment/receipt.,確認日付,出荷/受領を確認した日付。
377,2,Attribute,,cor,Detail,Measurable Class ID,,Token,,,0..1,"An enumerated code to identify the inventory, fixed asset or other measurable class. Enumerated as: raw material, work-in-process, finished goods, assemblies, supplies, land, building, machinery, furniture, vehicles, other.",測定可能分類コード,在庫、固定資産、その他の測定可能な分類を識別するための列挙コード。列挙例：原材料、仕掛品、製品、組立品、備品、土地、建物、機械、家具、車両、その他。
378,2,Attribute,,cor,Detail,Measurable Class Description,,String,,,0..1,Free format description associated with gl-ehm:measurableClassID to provide specialization or clarification for the enumerated value of other.,測定可能分類の説明,「その他」の列挙値を補足・特定するための自由記述形式の説明。
379,2,Attribute,,cor,Detail,Geospatial Coordinate,,String,,,0..1,"Enter a relevant location for this item. Format can be either:
- Degrees, minutes, and seconds (DMS): 41°24'12.2""N 2°10'26.5""E
- Degrees and decimal minutes (DMM): 41 24.2028, 2 10.4418
- Decimal degrees (DD): 41.40338, 2.17403",地理座標,"本項目の関連位置を入力。形式は以下のいずれか：
・度分秒 (DMS): 41°24'12.2""N 2°10'26.5""E
・度と小数分 (DMM): 41 24.2028, 2 10.4418
・10進度 (DD): 41.40338, 2.17403"
380,2,Composition,,cor,Detail,,,,cor,Account Identifier,0..*,"Class: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: 

/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",【科目識別子】,"タプル。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。_x000D_
/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division"
381,2,Composition,,cor,Detail,,,,muc,Multicurrency,0..*,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のセクション。－現在および原取引時の、換算レートおよび金額の記録に使用される。_x000D_
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
382,2,Composition,,cor,Detail,,,,cor,Identifier Reference,0..*,"Identification for customer, vendor, or employee.",【CVE情報】,顧客、仕入先、従業員のための識別子。
383,2,Composition,,cor,Detail,,,,cor,XBRL,0..*,This will roll up to XBRL reporting information - this is a parent - repeatable so that the same item can be reported through many taxonomies. Care should be taken to consider what happens if people post to the same account but different XBRL elements.,【XBRL情報】,XBRLレポート情報へのロールアップ情報。親タグであり、同じ項目が複数のタクソノミを通じて報告されうるように繰り返し可能。同一の勘定科目を異なるXBRL要素に転記した場合にどうなるか、注意深く考慮すべきである。
384,2,Composition,,cor,Detail,,,,bus,Measurable,0..*,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",【計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。
385,2,Composition,,cor,Detail,,,,bus,Job,0..*,"Class for holding job related information, separate from jobs represented in account identifier. Would probably only have one jobinfo class for each entry line, but there may be a need to express more than one.",【ジョブ情報】,科目識別子で表現されるジョブとは別の、ジョブに関係する情報のタプル。個々の明細行に対してひとつだけ存在すると思われるが、複数必要かもしれない。
386,2,Composition,,cor,Detail,,,,bus,Depreciation Mortgage,0..*,"Parent for information related to depreciation, mortgages, etc.",【減価償却/抵当債務情報】,減価償却、抵当債務等に関連する情報の親タグ。
387,2,Composition,,cor,Detail,,,,ehm,Serial or Lot,0..*,"Class for holding information about serial numbers or lots (batches). As a class, this permits multiple serial numbers or multiple lot number batches within a single gl-cor:measurable class.",【シリアル番号・ロット情報】,シリアル番号やロット（バッチ）に関する情報を保持するタプル。単一の構造内に複数のシリアル番号やロット情報を保持可能。
388,2,Composition,,cor,Detail,,,,cor,Tax,0..*,Class for holding tax related information,【税情報】,税関連の情報のタプル。
389,2,Aggregation,,cor,Detail,,,,taf,Originating Document,0..*,"A tool to capture the flow of related documents in the business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive class of related documents.",【発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。
390,2,Composition,,cor,Detail,,,,lnk,Rich Text Comment,0..*,"Accepts text in rich text format, including XHTML. It can be used for different purposes, such as to create footnotes in XBRL instances or to create a comment for a document or an entry.",【リッチテキストコメント】,XHTMLを含む、リッチテキスト形式のテキストを受け入れる。XBRLインスタンスのフットノートの生成や、文書や伝票のコメントの生成などの、さまざまな目的で利用可能。
391,1,Class,,cor,Entry_ Detail,,,,,,0..*,Parent for entry detail,【仕訳明細】,仕訳明細の親タグ。
392,2,Specialization,,cor,Entry_ Detail,,,,cor,Detail,1,,,
393,2,Attribute,,cor,Entry_ Detail,Detail_ Description,,String,,,0..1,Description of this line of detail only,説明,この明細行のみに対する説明。
394,2,Attribute,,cor,Entry_ Detail,Monetary Amount,,Monetary,,,0..1,"This field (amount) represents the primary monetary amount related to the  subject of the entryDetail line. There is one primary monetary amount per entryDetail class. It may, for example, represent the amount of one line of a journal entry, the balance on a document, or the extended amount of a line item on an invoice. Amount is not required if detailed entry is used for non-financial work and other elements are populated, in particular measurableQuantity. The amount field is a signed number (either positive or negative itself) and used in conjunction with a separate signOfAmount and a separate debitCreditCode, which together are considered for understanding the monetary amount. The unit of measure is determined by amountCurrency if present, and by the default or home currency if amountCurrency is not present.",金額,entryDetailの代表的な金額を示す。entryDetailごとにひとつの値を持つ。たとえば、仕訳帳の行、残高、請求書の行の金額。明細が会計業務用でなく、measurableQuantityなどの他の要素が設定されている場合は不要。符号付数値であり、金額を解釈するために用意されたsignOfAmountおよびdebitCreditCodeとあわせて使用される。通貨単位はamountCurrencyで決定される。amountCurrencyが指定されない場合は、既定または自国の通貨単位となる。
395,2,Attribute,,cor,Entry_ Detail,Currency,,QName,,,0..1,"The currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding.",通貨,XBRLインスタンス内に指定する方法のかわりに、金額の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。
396,2,Attribute,,cor,Entry_ Detail,Sign Indication for Amount,,Token,,,0..1,Sign of amount; provides 4 possible fields only when used in conjunction with debitCreditCode; primarily used for correcting entries so total debits and credits after an entry error are not inflated. D + increase DebitsD - decrease debitsC + decreases creditC - increases credit,金額符号,"金額の符号。貸借識別子と関連して使用される場合にだけ、4つの可能なフィールドを提供する。記入エラー後の総貸借が膨張しないように、おもに仕訳の訂正に使用される。 D+は借方を増加させる。D-は借方を減少させる。C+は貸方を減少させる。C-は貸方を増加させる。_x000D_
[設定値のリスト]_x000D_
(+)、(-)、(plus：プラス)、(minus：マイナス)"
397,2,Attribute,,cor,Entry_ Detail,Debit/Credit Indicator,,Token,,,0..1,"Optional identifier of whether the amount is a (D)ebit, a (C)redit or Undefined",貸借区分コード,"金額が借方か貸方か不定かを示す識別子。_x000D_
[設定値のリスト]_x000D_
(D)、(C)、(debit：借方)、(credit：貸方)、(undefined：不定)"
398,2,Attribute,,cor,Entry_ Detail,Allocation Code,,String,,,0..1,A code that is tied to the Enterprise's allocation system.,配分コード,配賦システムに結びつけるコード。
399,2,Attribute,,cor,Entry_ Detail,Invoice Type,,Token,,,0..1,"Invoice Type  (self-billed, ePoS enumerated values)",請求書種別,"請求書の種別。(self-billed、ePoS)_x000D_
[設定値のリスト]_x000D_
(ePos：POSシステムからの発行)、(self-billed：手動発行)"
400,2,Attribute,,cor,Entry_ Detail,Chargeable or Reimbursable,,String,,,0..1,"Is this entry chargeable to client, reimbursable? Used by some systems to indicate that account on posting/validation should be posted to a customer or vendor's account.",請求支払可能フラグ,この仕訳は顧客に請求、支払可能か。いくつかのシステムでは転記/検証対象の科目が顧客や仕入先の科目に転記されるべきかどうかを示すために使用される。
401,2,Attribute,,cor,Entry_ Detail,Payment Method,,String,,,0..1,Method used or to be used to make the payment,支払方法,支払いのために使用された、または使用される方法。
402,2,Attribute,,cor,Entry_ Detail,Ship From,,String,,,0..1,References organizationAddressLocationIdentifier where used. Otherwise freeform.,出荷元,organizationAddressLocationIdentifierの参照情報。または自由記述。
403,2,Attribute,,cor,Entry_ Detail,Date Shipped/Received,,Date Time,,,0..1,Date goods/services are shipped/received.,出荷/受領日付,物品/サービスを出荷/受領した日付。
404,2,Attribute,,cor,Entry_ Detail,Maturity Date or Date Due,,Date Time,,,0..1,Due date or other maturity date.,支払期日,支払期日やその他の期日。
405,2,Attribute,,cor,Entry_ Detail,Payment Terms,,String,,,0..1,Discount/payment terms.,支払条件,割引/支払い条件。
406,2,Attribute,,cor,Entry_ Detail,Costing Method Code,,Token,,,0..1,"An enumerated code for the inventory (or other measurable) costing method. Enumerated as: LIFO, FIFO, average, weighted-average, standard-cost, tax-basis, book-basis, other.",原価計算方法コード,在庫または他の測定可能な対象の原価計算方法を示す列挙コード。列挙例：LIFO、FIFO、平均法、加重平均法、標準原価法、税基準、帳簿基準、その他。
407,2,Attribute,,cor,Entry_ Detail,Costing Method Description,,String,,,0..1,Free format description associated with gl-ehm:costingMethodCode to provide specialization of clarification for the enumerated value of other.,原価計算方法の説明,「その他」の列挙値に関する補足説明または特定のための自由記述形式。
408,2,Attribute,,cor,Entry_ Detail,Ticking Field,,Boolean,,,0..1,"Signifies that an item has been cleared, finished, finalized. When checking accounts are called for, the tick or letter showing this was done appears in this field. Can also be used for identifying that the
original document against which a payment or DR/CR memo applies has been reconciled.",チェック欄,項目が消去または完了されたことを示す。勘定のチェックが要求される場合、処理済を示すチェックマークまたは文字が指定される。支払またはDR/CRのメモに対する元文書が、消し込まれたことを確認するためにも使用可能。
409,2,Attribute,,cor,Entry_ Detail,Document Remaining Balance,,Monetary,,,0..1,Balance remaining on the document,文書上残高,文書上の残高。
410,2,Attribute,,cor,Entry_ Detail,UCR,,String,,,0..1,"Unique Consignment Reference or UCR. An ""origin to destination"" reference code for international consignments, developed in cooperation with the World Customs Organization and EAN International (EAN). (http://www.wcoomd.org/ie/EN/press/UCR_new_e.pdf)",UCRコード,"Unique Consignment ReferenceまたはUCR。国際委託販売のための""origin to destination""参照コード。World Customs OrganizationとEAN International (EAN)が共同で開発している。_x000D_
(http://www.wcoomd.org/ie/EN/press/UCR_new_e.pdf)"
411,1,Abstract Class,,cor,Header,,,,,,0..*,Parent for entry headers/journal entry headers.,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。
412,2,Attribute,,cor,Header,Date Posted,,Date Time,,,0..1,Date this entry was posted (validated) to the general ledger. May not represent the date of accounting significance which is represented by 'postingDate'.,転記済日付,この仕訳が総勘定元帳に転記された(検証された)日付。 postingDateで示されるような会計上意味のある日付を表さないかもしれない。
413,2,Attribute,,cor,Header,Creator,,String,,,0..1,Initials/name of operator originally entering.,仕訳作成者,最初に入力したオペレータのイニシャル/名前。
414,2,Attribute,,cor,Header,Last Modifier,,String,,,0..1,Identification for the last person modifying this entry before posting.,仕訳最終更新者,転記前に最後にこの仕訳を修正した者の識別子。
415,2,Attribute,,cor,Header,Entered Date,,Date Time,,,0..1,"Represents the actual date/time of entry into computer (automated from system date, often misrepresented by changing system clock). Posting dates are maintained separately.",入力日付,コンピュータへ入力した実際の日付/時刻(システム日付から自動的に与えられ、システム時計の変更により、しばしば誤った値になる)を示す。 転記日付とは別に管理される。
416,2,Attribute,,cor,Header,Responsible Person,,String,,,0..1,Identifier of person who created or originated or is otherwise responsible for the entry.,責任者,仕訳を作成したか、仕訳に責任を持つ者の識別子。
417,2,Attribute,,cor,Header,Type Code,,Token,,,0..1,"One of the following enumerated list: adjusting, budget, comparative, external-accountant, standard, passed-adjusting, eliminating, proposed, recurring, reclassifying, simulated, tax, other",種別識別子,"以下の値のうちのひとつ。_x000D_
整理、予算、比較、外部会計事務所、通常、無視、消去、提案、反復、組替、シミュレーション、税、その他_x000D_
[設定値のリスト]_x000D_
(adjusting：整理)、(budget：予算)、(comparative：比較)、(external-accountant：外部会計事務所)、(standard：通常)、(passed-adjusting：無視)、(eliminating：消去)、(proposed：提案)、(recurring：反復)、(reclassifying：組替)、(simulated：シミュレーション)、(tax：税)、(other：その他)"
418,2,Attribute,,cor,Header,Posting Code,,String,,,0..1,"Code for posting to period, e.g., period 1-13, based on codes in an accounting period file. We do not recommend that software vendors export here, but suggest providing period end numbers for the buckets. Possibilities W1 through W53, M1 through M13, Q1-Q4. Developers and others creating output files are encouraged to supply an actual end date.",転記コード,転記の期間を表すコード。例えば、会計期間ファイルのコードにもとづく期間１～１３。ソフトウエアベンダーが、この値をエクスポートすることは推奨しない。期間の最終番号を提供することを勧める。可能な値としては、W1からW53、M1からM13、Q1からQ4など。開発者や出力ファイルの作成者には、実際の終了日付を提供することを勧める。
419,2,Attribute,,cor,Header,Number of Entries,,Integer,,,0..1,The total number of entries.,仕訳総数,仕訳の総数。
420,2,Attribute,,cor,Header,Comment,,String,,,0..1,Comment of the entry,仕訳摘要,仕訳の摘要
421,1,Class,,cor,Entry_ Header,,,,,,0..*,Parent for entry headers/journal entry headers.,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。
422,2,Specialization,,cor,Entry_ Header,,,,cor,Header,1,,,
423,2,Attribute,,cor,Entry_ Header,Header_ Entry Date,,Date Time,,,0..1,"Represents the actual date/time of entry into computer (automated from system date, often misrepresented by changing system clock). Posting dates are maintained separately.",入力日付,コンピュータへ入力した実際の日付/時刻(システム日付から自動的に与えられ、システム時計の変更により、しばしば誤った値になる)を示す。 転記日付とは別に管理される。
424,2,Attribute,,cor,Entry_ Header,Source Journal,,Token,,,0..1,"Source journal. The code of the journal in which the entry is processed. The code must be a unique indication for a journal and is selected from the following enumerated list:

cd      cash disbursements (sending cheques to vendors)
cr      cash receipts (receiving cheques from others)
fa      fixed assets
gi      giro/other bank adjustments
gj      general journal
im      inventory management
jc      job cost
pj      purchase journal (liabilities from purchases)
pl      payroll journal
sj      sales journal
se      standard entries
ud      user defined
ot      other sources of entries",元仕訳帳種別,"元仕訳帳。仕訳が処理される仕訳帳のコード。コードは仕訳帳に一意な指標であり、以下から選択する。_x000D_
出金(仕入先への小切手送付)、入金(他者からの小切手受領)、固定資産、振替、一般仕訳帳、在庫管理、個別原価、仕入帳(仕入による負債)、賃金台帳、売上台帳、通常仕訳、ユーザ定義、その他_x000D_
[設定値のリスト]_x000D_
(cd：出金)、(cr：入金)、(fa：固定資産)、(gi：振替)、(gj：一般仕訳帳)、(im：在庫管理)、(jc：個別原価)、(pj：仕入帳)、(pl：賃金台帳)、(sj：売上台帳)、(se：通常仕訳)、(ud：ユーザ定義)、(ot：その他)"
425,2,Attribute,,cor,Entry_ Header,Journal Description,,String,,,0..1,"Source journal (full description of general journal, payroll journal, accountant entries). A more easily readable journal indication. The most common journals are: Purchases, Sales, Cash, and General Journal.",元仕訳帳説明,元仕訳帳(一般仕訳、給与台帳、会計事務所入力の完全な説明)。 よりわかりやすい仕訳帳の指標。 最も一般的な仕訳帳は、次の通り。 仕入、売上、現金、一般仕訳。
426,2,Attribute,,cor,Entry_ Header,Entry Origin,,String,,,0..1,"Origin of entry: accrual, manual entry, imported entry, exchange gain or loss",仕訳起源,仕訳の起源。発生、手入力、インポート入力、為替換算による損益。
427,2,Attribute,,cor,Entry_ Header,Entry ID,,String,,,0..1,Identifier within source journal,仕訳識別子,元仕訳帳中の識別子。
428,2,Attribute,,cor,Entry_ Header,Entry Description,,String,,,0..1,Description of entry described by this entry header (e.g. Opening Balance),仕訳説明,このエントリヘッダーによって説明された仕訳の説明(例えば、期首残高)
429,2,Attribute,,cor,Entry_ Header,Entry Qualifier,,Token,,,0..1,"Entry Qualifier - An enumerated field that qualifies the type of entry, specifically useful for general ledger and trial balance environments when it is important to state the values represented are summarized as of the reporting date - opening or closing balances. In accounting systems, this is often known as BBF (balance brought forward.) Permitted values are: standard, balance-brought-forward and other.",仕訳修飾子,"仕訳の修飾子。総勘定元帳や試算表で、開始残高や決算残高のように、記された値が報告日で集約されていることを明示することが重要なときに有用な、仕訳の種別を修飾するもの。会計システムにおいて、BBF（繰越残高）として知られるもの。指定可能な値は以下。標準、繰越残高、その他_x000D_
[設定値のリスト]_x000D_
(standard：標準)、(balance-brought-forward：繰越残高)、(other：その他)"
430,2,Attribute,,cor,Entry_ Header,Entry Qualifier Description,,String,,,0..1,Free format description of the entry qualifier,仕訳修飾子説明,仕訳の修飾子の説明。
431,2,Attribute,,cor,Entry_ Header,Batch ID for Entry Group,,String,,,0..1,ID for a batch for this group of entries,仕訳グループ識別子,この仕訳の集合に付ける、束の識別子。
432,2,Attribute,,cor,Entry_ Header,Batch Description,,String,,,0..1,Description of this batch,仕訳グループ説明,この仕訳の束の説明。
433,2,Attribute,,cor,Entry_ Header,Total Debits,,Monetary,,,0..1,The total of all debit amounts.,借方合計,借方金額の合計値。
434,2,Attribute,,cor,Entry_ Header,Total Credits,,Monetary,,,0..1,The total of all credit amounts.,貸方合計,貸方金額の合計値。
435,2,Attribute,,cor,Entry_ Header,Type of Difference Between Book and Tax,,Token,,,0..1,"Enumerated field with possible values of permanent, temporary or none indicating the type of difference between book and tax accounting methods. Omission of this field is equivalent to ""none""",帳簿価税務簿価差異種別,"帳簿と税務会計処理方法との差異の種別を示す値。永久か一時的かまたは無し。値の省略時は「無し」と同じ。_x000D_
[設定値のリスト]_x000D_
(permanent：永久)、(temporary：一時的)、(none：無し)"
436,2,Attribute,,cor,Entry_ Header,Elimination Code,,String,,,0..1,Informs destination ledger this is an intracompany entry which eliminates in consolidation,相殺消去コード,連結決算時に消去される連結会社間仕訳であることを、受取側の元帳に通知する。
437,2,Attribute,,cor,Entry_ Header,Budget Scenario Period Start,,Date Time,,,0..1,Start of period covered by associated budgetScenario,予算シナリオ期間開始日付,関係付けられたbudgetScenarioがカバーする期間の開始日。
438,2,Attribute,,cor,Entry_ Header,Budget Scenario Period End,,Date Time,,,0..1,End of period covered by associated budgetScenario,予算シナリオ期間終了日付,関係付けられたbudgetScenarioがカバーする期間の終了日。
439,2,Attribute,,cor,Entry_ Header,Scenario Description,,String,,,0..1,Text related to budgetScenario,シナリオ説明,budgetScenarioに関する記述。
440,2,Attribute,,cor,Entry_ Header,Scenario Code,,String,,,0..1,"Code for a budget scenario identifier (such as PB for 'preliminary budget', or RB for 'revised budget', or other identifier for entryType)",シナリオコード,予算シナリオの識別コード。例えば、「PB」（予備予算）、「RB」（補正予算）、または他の仕訳種別の識別子。
441,2,Attribute,,cor,Entry_ Header,Budget Allocation Code,,Token,,,0..1,"Code associated with the calculation formula: e.g. (D)ivide by number of periods, (T)otal for period given",予算配分コード,"計算式に関係付けられたコード。例えば、期間数での分割、与えられた期間の合計_x000D_
[設定値のリスト]_x000D_
(D：期間数での分割)、(T：与えられた期間の合計)"
442,2,Attribute,,cor,Entry_ Header,"ID for Reversing, Standard or Master Entry",,String,,,0..1,"For standard, reversing, master, cancelling or other entries an ID associated with those entries.",反対/通常/マスタ仕訳識別子,通常、反対、マスタ、取消または他の仕訳のための、それらの仕訳を関連付けるID。
443,2,Attribute,,cor,Entry_ Header,Recurring Standard Description,,String,,,0..1,Description to accompany standard or recurring ID,反復通常仕訳説明,通常仕訳または反復仕訳のIDの説明。
444,2,Attribute,,cor,Entry_ Header,Frequency Interval,,Decimal,,,0..1,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the interval.",頻度間隔,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、intervalを示す。
445,2,Attribute,,cor,Entry_ Header,Frequency Unit,,String,,,0..1,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the unit.",頻度単位,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、unitを示す。
446,2,Attribute,,cor,Entry_ Header,Repetitions Remaining,,Integer,,,0..1,Number of times that the recurring entry will repeat,反復残回数,反復仕訳の繰り返し予定数。
447,2,Attribute,,cor,Entry_ Header,Next Date Repeat,,Date Time,,,0..1,Date next repeated or standard posted,次回反復日付,次回の反復あるいは通常の転記日。
448,2,Attribute,,cor,Entry_ Header,Last Date Repeat,,Date Time,,,0..1,Date last repeated or standard posted,前回反復日付,前回の反復あるいは通常の転記日。
449,2,Attribute,,cor,Entry_ Header,End Date of Repeating Entry,,Date Time,,,0..1,"For standard or recurring journals, stop date/time for repetitive entry.",反復仕訳終了日付,通常仕訳または反復仕訳のための、反復入力の終了日付/時刻。
450,2,Attribute,,cor,Entry_ Header,Reverse,,Boolean,,,0..1,Should entry be reversed?,反対仕訳要否,仕訳が取り消されるべきか。
451,2,Attribute,,cor,Entry_ Header,Reversing Date,,Date Time,,,0..1,Date this entry should be reversed,反対仕訳日付,この仕訳が取り消されるべき日付。
452,2,Attribute,,cor,Entry_ Header,Entry Number Counter,,Decimal,,,0..1,Unique reference for the entry - a numeric counter,仕訳番号カウンタ,仕訳の一意なリファレンス　　カウンタ
453,2,Composition,,cor,Entry_ Header,,,,cor,Entry_ Detail,0..*,Parent for entry detail,【仕訳明細】,仕訳明細の親タグ。
454,2,Attribute,,cor,Entry_ Header,Entered Date,,Date Time,,,0,"Represents the actual date/time of entry into computer (automated from system date, often misrepresented by changing system clock). Posting dates are maintained separately.",入力日付,コンピュータへ入力した実際の日付/時刻(システム日付から自動的に与えられ、システム時計の変更により、しばしば誤った値になる)を示す。 転記日付とは別に管理される。
455,1,Class,,cor,Accounting Entries,,,,,,1..*,Root for XBRL GL. No entry made here.,【会計仕訳】,XBRL GLのルート要素。 この要素にはデータは登録されない。
456,2,Composition,,cor,Accounting Entries,,,,cor,Document Information,1..1,Parent for descriptive information about the accountingEntries Class in which it is contained.,【文書情報】,この会計仕訳に関する情報の親タグ。
457,2,Composition,,cor,Accounting Entries,,,,cor,Entity_ Party,0..1,Holder for entity information - information about the reporting organization.,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。
458,2,Composition,,cor,Accounting Entries,,,,cor,Entry_ Header,0..*,Parent for entry headers/journal entry headers.,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。
